"","system","Cause","Effect","rho_Lmax","edge_colors"
"60","UASB","Ac","Pr",0.829467935,"#292994"
"61","UASB","Pr","Pr",0.99631692,"#000080"
"62","UASB","Bu","Pr",0.708088303,"#4949A3"
"63","UASB","H2","Pr",0.56051813,"#6E6EB6"
"64","UASB","CH4","Pr",0.568837802,"#6C6CB5"
"65","UASB","pH","Pr",0.693290366,"#4C4CA5"
"66","UASB","PC1","Pr",0.841802831,"#262693"
"67","UASB","PC2","Pr",0.850406528,"#242491"
"68","UASB","Div_a","Pr",0.629319401,"#5C5CAD"
"69","UASB","Biomass","Pr",0.612508365,"#6060AF"
"70","UASB","Instability","Pr",0.709894521,"#4848A3"
"71","UASB","P_P_IS","Pr",0.770128962,"#38389B"
"72","UASB","P_N_IS","Pr",0.443253613,"#8C8CC4"
"73","UASB","Complexity","Pr",0.599467031,"#6464B1"
"74","UASB","Ave_P_IS","Pr",0.511555617,"#7A7ABC"
"75","UASB","Ave_N_IS","Pr",0.6203165,"#5E5EAE"
"76","UASB","Centrality","Pr",0.596376802,"#6565B1"
"77","UASB","COD","Bu",0.768051453,"#39399C"
"78","UASB","dG","Bu",0.7606875,"#3B3B9D"
"79","UASB","Ac","Bu",0.830636496,"#292994"
"80","UASB","Pr","Bu",0.721515853,"#4545A2"
"81","UASB","Bu","Bu",0.978702383,"#030381"
"82","UASB","H2","Bu",0.728797445,"#4343A1"
"83","UASB","CH4","Bu",0.63546876,"#5A5AAC"
"84","UASB","pH","Bu",0.73819211,"#40409F"
"85","UASB","PC1","Bu",0.933150426,"#0F0F87"
"86","UASB","PC2","Bu",0.901512887,"#17178B"
"87","UASB","Div_a","Bu",0.684950747,"#4E4EA6"
"88","UASB","Biomass","Bu",0.681713733,"#4F4FA7"
"89","UASB","Instability","Bu",0.771363782,"#38389B"
"90","UASB","P_P_IS","Bu",0.825677166,"#2B2B95"
"91","UASB","P_N_IS","Bu",0.519235819,"#7878BB"
"92","UASB","Complexity","Bu",0.717344395,"#4646A2"
"93","UASB","Ave_P_IS","Bu",0.652030843,"#5757AA"
"94","UASB","Ave_N_IS","Bu",0.767529032,"#39399C"
"95","UASB","Centrality","Bu",0.707476721,"#4949A3"
"96","UASB","COD","H2",0.818124167,"#2C2C96"
"97","UASB","dG","H2",0.809068839,"#2E2E97"
"98","UASB","Ac","H2",0.782491313,"#35359A"
"99","UASB","Pr","H2",0.822165702,"#2B2B95"
"100","UASB","Bu","H2",0.910594492,"#15158A"
"101","UASB","H2","H2",0.905016551,"#17178B"
"102","UASB","CH4","H2",0.681333513,"#4F4FA7"
"103","UASB","pH","H2",0.898940044,"#18188C"
"104","UASB","PC1","H2",0.908675162,"#15158A"
"105","UASB","PC2","H2",0.873499395,"#1E1E8F"
"106","UASB","Div_a","H2",0.670186613,"#5252A8"
"107","UASB","Biomass","H2",0.758243175,"#3C3C9D"
"108","UASB","Instability","H2",0.79437887,"#323298"
"109","UASB","P_P_IS","H2",0.811128347,"#2E2E97"
"110","UASB","P_N_IS","H2",0.636034393,"#5A5AAC"
"111","UASB","Complexity","H2",0.732044652,"#4242A0"
"112","UASB","Ave_P_IS","H2",0.685023034,"#4E4EA6"
"113","UASB","Ave_N_IS","H2",0.749789833,"#3D3D9E"
"114","UASB","Centrality","H2",0.732730882,"#4242A0"
"115","UASB","COD","CH4",0.860982308,"#222290"
"116","UASB","dG","CH4",0.882594093,"#1C1C8D"
"117","UASB","Ac","CH4",0.723373761,"#4444A1"
"118","UASB","Pr","CH4",0.773821792,"#37379B"
"119","UASB","Bu","CH4",0.719181892,"#4646A2"
"120","UASB","H2","CH4",0.654235269,"#5656AA"
"121","UASB","CH4","CH4",0.969153117,"#060683"
"122","UASB","pH","CH4",0.784964017,"#34349A"
"123","UASB","PC1","CH4",0.583932556,"#6868B3"
"124","UASB","PC2","CH4",0.624947344,"#5D5DAE"
"125","UASB","Div_a","CH4",0.541235741,"#7272B8"
"126","UASB","Biomass","CH4",0.754810942,"#3D3D9E"
"127","UASB","Instability","CH4",0.580884812,"#6969B3"
"128","UASB","P_P_IS","CH4",0.447581268,"#8A8AC4"
"129","UASB","P_N_IS","CH4",0.305121437,"#AFAFD6"
"130","UASB","Complexity","CH4",0.281309609,"#B5B5D9"
"131","UASB","Ave_P_IS","CH4",0.560174685,"#6E6EB6"
"132","UASB","Ave_N_IS","CH4",0.482360376,"#8181BF"
"133","UASB","Centrality","CH4",0.298249398,"#B0B0D6"
"134","UASB","COD","pH",0.694382566,"#4C4CA5"
"135","UASB","dG","pH",0.709222969,"#4848A3"
"136","UASB","Ac","pH",0.745625035,"#3F3F9F"
"137","UASB","Pr","pH",0.747722283,"#3E3E9E"
"138","UASB","Bu","pH",0.764476301,"#3A3A9C"
"139","UASB","H2","pH",0.665394401,"#5353A9"
"140","UASB","CH4","pH",0.711668876,"#4747A3"
"141","UASB","pH","pH",0.968504424,"#060683"
"142","UASB","PC1","pH",0.772711424,"#38389B"
"143","UASB","PC2","pH",0.799728918,"#313198"
"144","UASB","Div_a","pH",0.72512694,"#4444A1"
"145","UASB","Biomass","pH",0.731632163,"#4343A1"
"146","UASB","Instability","pH",0.677758169,"#5050A7"
"147","UASB","P_P_IS","pH",0.702678624,"#4949A4"
"148","UASB","P_N_IS","pH",0.434268102,"#8E8EC6"
"149","UASB","Complexity","pH",0.555359877,"#6F6FB7"
"150","UASB","Ave_P_IS","pH",0.623826376,"#5D5DAE"
"151","UASB","Ave_N_IS","pH",0.599538298,"#6464B1"
"152","UASB","Centrality","pH",0.530091722,"#7575B9"
"153","UASB","COD","PC1",0.674711198,"#5151A7"
"154","UASB","dG","PC1",0.69552257,"#4C4CA5"
"155","UASB","Ac","PC1",0.809149592,"#2E2E97"
"156","UASB","Pr","PC1",0.834312892,"#292994"
"157","UASB","Bu","PC1",0.784449157,"#35359A"
"158","UASB","H2","PC1",0.679241177,"#4F4FA7"
"159","UASB","CH4","PC1",0.370926913,"#9E9ECD"
"160","UASB","pH","PC1",0.737229588,"#4141A0"
"161","UASB","PC1","PC1",0.992632418,"#000080"
"162","UASB","PC2","PC1",0.914589673,"#141489"
"163","UASB","Div_a","PC1",0.781459703,"#36369A"
"164","UASB","Biomass","PC1",0.738865719,"#40409F"
"165","UASB","Instability","PC1",0.823546686,"#2B2B95"
"166","UASB","P_P_IS","PC1",0.881921142,"#1C1C8D"
"167","UASB","P_N_IS","PC1",0.565056979,"#6C6CB5"
"168","UASB","Complexity","PC1",0.759638186,"#3B3B9D"
"169","UASB","Ave_P_IS","PC1",0.679469695,"#4F4FA7"
"170","UASB","Ave_N_IS","PC1",0.807297688,"#2F2F97"
"171","UASB","Centrality","PC1",0.748848266,"#3E3E9E"
"172","UASB","COD","PC2",0.737899824,"#40409F"
"173","UASB","dG","PC2",0.770321511,"#38389B"
"174","UASB","Ac","PC2",0.857957212,"#232391"
"175","UASB","Pr","PC2",0.849728875,"#242491"
"176","UASB","Bu","PC2",0.830669424,"#292994"
"177","UASB","H2","PC2",0.732664691,"#4242A0"
"178","UASB","CH4","PC2",0.441642855,"#8C8CC4"
"179","UASB","pH","PC2",0.800038617,"#313198"
"180","UASB","PC1","PC2",0.973608247,"#050582"
"181","UASB","PC2","PC2",0.992226437,"#000080"
"182","UASB","Div_a","PC2",0.767452159,"#39399C"
"183","UASB","Biomass","PC2",0.794195902,"#323298"
"184","UASB","Instability","PC2",0.832339222,"#292994"
"185","UASB","P_P_IS","PC2",0.864656272,"#202090"
"186","UASB","P_N_IS","PC2",0.574831196,"#6A6AB4"
"187","UASB","Complexity","PC2",0.734707975,"#4242A0"
"188","UASB","Ave_P_IS","PC2",0.674509368,"#5151A7"
"189","UASB","Ave_N_IS","PC2",0.787394456,"#34349A"
"190","UASB","Centrality","PC2",0.726168857,"#4343A1"
"191","UASB","COD","Div_a",0.661353906,"#5454A9"
"192","UASB","dG","Div_a",0.761716443,"#3A3A9C"
"193","UASB","Ac","Div_a",0.64812224,"#5757AB"
"194","UASB","Pr","Div_a",0.720461316,"#4545A2"
"195","UASB","Bu","Div_a",0.660893818,"#5454A9"
"196","UASB","H2","Div_a",0.613542099,"#6060AF"
"197","UASB","CH4","Div_a",0.410545262,"#9494C9"
"198","UASB","pH","Div_a",0.692810927,"#4C4CA5"
"199","UASB","PC1","Div_a",0.957616652,"#090984"
"200","UASB","PC2","Div_a",0.734253691,"#4242A0"
"201","UASB","Div_a","Div_a",0.974621286,"#050582"
"202","UASB","Biomass","Div_a",0.726985698,"#4343A1"
"203","UASB","Instability","Div_a",0.800236117,"#313198"
"204","UASB","P_P_IS","Div_a",0.851970692,"#242491"
"205","UASB","P_N_IS","Div_a",0.473119381,"#8484C1"
"206","UASB","Complexity","Div_a",0.72754078,"#4343A1"
"207","UASB","Ave_P_IS","Div_a",0.589510375,"#6666B2"
"208","UASB","Ave_N_IS","Div_a",0.775351313,"#37379B"
"209","UASB","Centrality","Div_a",0.711800093,"#4747A3"
"210","UASB","COD","Biomass",0.714752188,"#4646A2"
"211","UASB","dG","Biomass",0.717306331,"#4646A2"
"212","UASB","Ac","Biomass",0.769725837,"#39399C"
"213","UASB","Pr","Biomass",0.783276611,"#35359A"
"214","UASB","Bu","Biomass",0.817461139,"#2C2C96"
"215","UASB","H2","Biomass",0.719660709,"#4646A2"
"216","UASB","CH4","Biomass",0.476320582,"#8383C0"
"217","UASB","pH","Biomass",0.74458771,"#3F3F9F"
"218","UASB","PC1","Biomass",0.860022298,"#222290"
"219","UASB","PC2","Biomass",0.840524114,"#272793"
"220","UASB","Div_a","Biomass",0.671805217,"#5252A8"
"221","UASB","Biomass","Biomass",0.982033137,"#020281"
"222","UASB","Instability","Biomass",0.747060916,"#3E3E9E"
"223","UASB","P_P_IS","Biomass",0.638030584,"#5A5AAC"
"224","UASB","P_N_IS","Biomass",0.40575294,"#9595C9"
"225","UASB","Complexity","Biomass",0.486483783,"#8080BF"
"226","UASB","Ave_P_IS","Biomass",0.676188583,"#5050A7"
"227","UASB","Ave_N_IS","Biomass",0.712601221,"#4747A3"
"228","UASB","Centrality","Biomass",0.457440085,"#8888C3"
"229","UASB","COD","Instability",0.58763019,"#6767B2"
"230","UASB","dG","Instability",0.576866129,"#6969B4"
"231","UASB","Ac","Instability",0.617072704,"#6060AF"
"232","UASB","Pr","Instability",0.758225332,"#3C3C9D"
"233","UASB","Bu","Instability",0.66933321,"#5252A8"
"234","UASB","H2","Instability",0.621281329,"#5E5EAE"
"235","UASB","CH4","Instability",0.441238403,"#8C8CC4"
"236","UASB","pH","Instability",0.623807749,"#5D5DAE"
"237","UASB","PC1","Instability",0.934711987,"#0E0E87"
"238","UASB","PC2","Instability",0.709738468,"#4848A3"
"239","UASB","Div_a","Instability",0.607891577,"#6262B0"
"240","UASB","Biomass","Instability",0.70447789,"#4949A4"
"241","UASB","Instability","Instability",0.980256202,"#030381"
"242","UASB","P_P_IS","Instability",0.845175504,"#262692"
"243","UASB","P_N_IS","Instability",0.484293356,"#8181BF"
"244","UASB","Complexity","Instability",0.697462933,"#4B4BA5"
"245","UASB","Ave_P_IS","Instability",0.658750914,"#5454A9"
"246","UASB","Ave_N_IS","Instability",0.749847079,"#3D3D9E"
"247","UASB","Centrality","Instability",0.689003677,"#4D4DA6"
"248","UASB","COD","P_P_IS",0.501908641,"#7D7DBD"
"249","UASB","dG","P_P_IS",0.544328685,"#7272B8"
"250","UASB","Ac","P_P_IS",0.612779727,"#6060AF"
"251","UASB","Pr","P_P_IS",0.788794466,"#343499"
"252","UASB","Bu","P_P_IS",0.612538386,"#6060AF"
"253","UASB","H2","P_P_IS",0.553285447,"#6F6FB7"
"254","UASB","CH4","P_P_IS",0.350238228,"#A3A3D0"
"255","UASB","pH","P_P_IS",0.572821728,"#6B6BB4"
"256","UASB","PC1","P_P_IS",0.947276003,"#0B0B85"
"257","UASB","PC2","P_P_IS",0.713118149,"#4747A3"
"258","UASB","Div_a","P_P_IS",0.645318427,"#5858AB"
"259","UASB","Biomass","P_P_IS",0.622963748,"#5E5EAE"
"260","UASB","Instability","P_P_IS",0.821521311,"#2B2B95"
"261","UASB","P_P_IS","P_P_IS",0.993330085,"#000080"
"262","UASB","P_N_IS","P_P_IS",0.578691135,"#6969B4"
"263","UASB","Complexity","P_P_IS",0.849151151,"#252592"
"264","UASB","Ave_P_IS","P_P_IS",0.548498957,"#7171B7"
"265","UASB","Ave_N_IS","P_P_IS",0.768310873,"#39399C"
"266","UASB","Centrality","P_P_IS",0.834977271,"#282893"
"267","UASB","COD","P_N_IS",0.0765786,"#E8E8F2"
"268","UASB","dG","P_N_IS",0.157714092,"#D4D4E8"
"269","UASB","Ac","P_N_IS",0.292928085,"#B2B2D7"
"270","UASB","Pr","P_N_IS",0.346513323,"#A4A4D1"
"271","UASB","Bu","P_N_IS",0.283740541,"#B4B4D8"
"272","UASB","H2","P_N_IS",0.325131646,"#A9A9D3"
"273","UASB","CH4","P_N_IS",0.170422557,"#D1D1E7"
"274","UASB","pH","P_N_IS",0.433350245,"#8E8EC6"
"275","UASB","PC1","P_N_IS",0.19181656,"#CBCBE4"
"276","UASB","PC2","P_N_IS",0.53576317,"#7474B9"
"277","UASB","Div_a","P_N_IS",0.219637417,"#C4C4E0"
"278","UASB","Biomass","P_N_IS",0.196354743,"#CACAE3"
"279","UASB","Instability","P_N_IS",0,"#FCFCFC"
"280","UASB","P_P_IS","P_N_IS",0.448737432,"#8A8AC4"
"281","UASB","P_N_IS","P_N_IS",0.986987618,"#020281"
"282","UASB","Complexity","P_N_IS",0.738388125,"#40409F"
"283","UASB","Ave_P_IS","P_N_IS",0.476172156,"#8383C0"
"284","UASB","Ave_N_IS","P_N_IS",0.214766364,"#C5C5E1"
"285","UASB","Centrality","P_N_IS",0.753712706,"#3D3D9E"
"286","UASB","COD","Complexity",0.38338257,"#9B9BCC"
"287","UASB","dG","Complexity",0.396555718,"#9898CA"
"288","UASB","Ac","Complexity",0.496833061,"#7E7EBE"
"289","UASB","Pr","Complexity",0.667757935,"#5252A8"
"290","UASB","Bu","Complexity",0.505994557,"#7B7BBC"
"291","UASB","H2","Complexity",0.534347505,"#7575B9"
"292","UASB","CH4","Complexity",0.215353964,"#C5C5E1"
"293","UASB","pH","Complexity",0.659384346,"#5454A9"
"294","UASB","PC1","Complexity",0.84130526,"#262693"
"295","UASB","PC2","Complexity",0.441635348,"#8C8CC4"
"296","UASB","Div_a","Complexity",0.511463969,"#7A7ABC"
"297","UASB","Biomass","Complexity",0.614387729,"#6060AF"
"298","UASB","Instability","Complexity",0.713692024,"#4747A3"
"299","UASB","P_P_IS","Complexity",0.903921817,"#17178B"
"300","UASB","P_N_IS","Complexity",0.722423761,"#4545A2"
"301","UASB","Complexity","Complexity",0.989018085,"#010180"
"302","UASB","Ave_P_IS","Complexity",0.465093151,"#8686C2"
"303","UASB","Ave_N_IS","Complexity",0.621100391,"#5E5EAE"
"304","UASB","Centrality","Complexity",0.985653181,"#020281"
"305","UASB","COD","Ave_P_IS",0.519895526,"#7878BB"
"306","UASB","dG","Ave_P_IS",0.56442725,"#6C6CB5"
"307","UASB","Ac","Ave_P_IS",0.311659253,"#ACACD5"
"308","UASB","Pr","Ave_P_IS",0.758720142,"#3B3B9D"
"309","UASB","Bu","Ave_P_IS",0.550042833,"#7070B7"
"310","UASB","H2","Ave_P_IS",0.466381342,"#8686C2"
"311","UASB","CH4","Ave_P_IS",0.311297051,"#ADADD5"
"312","UASB","pH","Ave_P_IS",0.678999014,"#4F4FA7"
"313","UASB","PC1","Ave_P_IS",0.737209358,"#4141A0"
"314","UASB","PC2","Ave_P_IS",0.701803537,"#4A4AA4"
"315","UASB","Div_a","Ave_P_IS",0.375422949,"#9D9DCD"
"316","UASB","Biomass","Ave_P_IS",0.615208198,"#6060AF"
"317","UASB","Instability","Ave_P_IS",0.659847223,"#5454A9"
"318","UASB","P_P_IS","Ave_P_IS",0.514985329,"#7979BB"
"319","UASB","P_N_IS","Ave_P_IS",0.313001618,"#ACACD5"
"320","UASB","Complexity","Ave_P_IS",0.351094856,"#A3A3D0"
"321","UASB","Ave_P_IS","Ave_P_IS",0.972386408,"#050582"
"322","UASB","Ave_N_IS","Ave_P_IS",0.664982094,"#5353A9"
"323","UASB","Centrality","Ave_P_IS",0.38138958,"#9B9BCC"
"324","UASB","COD","Ave_N_IS",0.417589387,"#9292C7"
"325","UASB","dG","Ave_N_IS",0.475803278,"#8383C0"
"326","UASB","Ac","Ave_N_IS",0.657154334,"#5555AA"
"327","UASB","Pr","Ave_N_IS",0.767031315,"#3A3A9C"
"328","UASB","Bu","Ave_N_IS",0.626909951,"#5D5DAD"
"329","UASB","H2","Ave_N_IS",0.520079506,"#7878BB"
"330","UASB","CH4","Ave_N_IS",0.340355374,"#A6A6D1"
"331","UASB","pH","Ave_N_IS",0.542768675,"#7272B8"
"332","UASB","PC1","Ave_N_IS",0.93222558,"#0F0F87"
"333","UASB","PC2","Ave_N_IS",0.740721988,"#40409F"
"334","UASB","Div_a","Ave_N_IS",0.622281386,"#5E5EAE"
"335","UASB","Biomass","Ave_N_IS",0.64538041,"#5858AB"
"336","UASB","Instability","Ave_N_IS",0.759838629,"#3B3B9D"
"337","UASB","P_P_IS","Ave_N_IS",0.810111458,"#2E2E97"
"338","UASB","P_N_IS","Ave_N_IS",0.327946022,"#A9A9D3"
"339","UASB","Complexity","Ave_N_IS",0.629958269,"#5C5CAD"
"340","UASB","Ave_P_IS","Ave_N_IS",0.674412613,"#5151A7"
"341","UASB","Ave_N_IS","Ave_N_IS",0.99350094,"#000080"
"342","UASB","Centrality","Ave_N_IS",0.611319113,"#6060AF"
"343","UASB","COD","Centrality",0.459592626,"#8787C2"
"344","UASB","dG","Centrality",0.449635398,"#8A8AC4"
"345","UASB","Ac","Centrality",0.378536962,"#9C9CCD"
"346","UASB","Pr","Centrality",0.614526534,"#6060AF"
"347","UASB","Bu","Centrality",0.430370914,"#8F8FC6"
"348","UASB","H2","Centrality",0.463070968,"#8686C2"
"349","UASB","CH4","Centrality",0.216495929,"#C5C5E1"
"350","UASB","pH","Centrality",0.63268427,"#5B5BAD"
"351","UASB","PC1","Centrality",0.774186995,"#37379B"
"352","UASB","PC2","Centrality",0.388221367,"#9999CB"
"353","UASB","Div_a","Centrality",0.440450618,"#8C8CC5"
"354","UASB","Biomass","Centrality",0.604591911,"#6363B0"
"355","UASB","Instability","Centrality",0.688290457,"#4D4DA6"
"356","UASB","P_P_IS","Centrality",0.871185621,"#1F1F8F"
"357","UASB","P_N_IS","Centrality",0.763187913,"#3A3A9C"
"358","UASB","Complexity","Centrality",0.983986337,"#020281"
"359","UASB","Ave_P_IS","Centrality",0.441343292,"#8C8CC4"
"360","UASB","Ave_N_IS","Centrality",0.620415528,"#5E5EAE"
"361","UASB","Centrality","Centrality",0.989666964,"#010180"
"362","UASB","Metabolites","Community",0.737857616,"#40409F"
"363","UASB","Community","Metabolites",0.704070719,"#4949A4"
"364","UASB","Community","Interaction",0.696909745,"#4B4BA5"
"365","UASB","Interaction","Community",0.652939444,"#5656AA"
"366","UASB","Metabolites","Interaction",0.637752818,"#5A5AAC"
"367","UASB","Interaction","Metabolites",0.527678851,"#7676BA"
"368","UASB","Metabolites","Metabolites",0.79101792,"#333399"
"369","UASB","Community","Community",0.856430772,"#232391"
"370","UASB","Interaction","Interaction",0.734711576,"#4242A0"
