system,Cause,Effect,rho_Lmax
UASB,P_N_IS,PC1,0.734707975
UASB,Complexity,PC1,0.674509368
UASB,Ave_P_IS,PC1,0.787394456
UASB,Ave_N_IS,PC1,0.726168857
UASB,Centrality,PC1,0.800038617
UASB,COD,PC2,0.661353906
UASB,dG,PC2,0.761716443
UASB,Ac,PC2,0.64812224
UASB,Pr,PC2,0.720461316
UASB,Bu,PC2,0.660893818
UASB,H2,PC2,0.613542099
UASB,CH4,PC2,0.410545262
UASB,pH,PC2,0.957616652
UASB,PC1,PC2,0.734253691
UASB,PC2,PC2,0.974621286
UASB,Div_a,PC2,0.726985698
UASB,Biomass,PC2,0.800236117
UASB,Instability,PC2,0.851970692
UASB,P_P_IS,PC2,0.473119381
UASB,P_N_IS,PC2,0.72754078
UASB,Complexity,PC2,0.589510375
UASB,Ave_P_IS,PC2,0.775351313
UASB,Ave_N_IS,PC2,0.711800093
UASB,Centrality,PC2,0.692810927
UASB,COD,Div_a,0.714752188
UASB,dG,Div_a,0.717306331
UASB,Ac,Div_a,0.769725837
UASB,Pr,Div_a,0.783276611
UASB,Bu,Div_a,0.817461139
UASB,H2,Div_a,0.719660709
UASB,CH4,Div_a,0.476320582
UASB,pH,Div_a,0.860022298
UASB,PC1,Div_a,0.840524114
UASB,PC2,Div_a,0.671805217
UASB,Div_a,Div_a,0.982033137
UASB,Biomass,Div_a,0.747060916
UASB,Instability,Div_a,0.638030584
UASB,P_P_IS,Div_a,0.40575294
UASB,P_N_IS,Div_a,0.486483783
UASB,Complexity,Div_a,0.676188583
UASB,Ave_P_IS,Div_a,0.712601221
UASB,Ave_N_IS,Div_a,0.457440085
UASB,Centrality,Div_a,0.74458771
UASB,COD,Biomass,0.58763019
UASB,dG,Biomass,0.576866129
UASB,Ac,Biomass,0.617072704
UASB,Pr,Biomass,0.758225332
UASB,Bu,Biomass,0.66933321
UASB,H2,Biomass,0.621281329
UASB,CH4,Biomass,0.441238403
UASB,pH,Biomass,0.934711987
UASB,PC1,Biomass,0.709738468
UASB,PC2,Biomass,0.607891577
UASB,Div_a,Biomass,0.70447789
UASB,Biomass,Biomass,0.980256202
UASB,Instability,Biomass,0.845175504
UASB,P_P_IS,Biomass,0.484293356
UASB,P_N_IS,Biomass,0.697462933
UASB,Complexity,Biomass,0.658750914
UASB,Ave_P_IS,Biomass,0.749847079
UASB,Ave_N_IS,Biomass,0.689003677
UASB,Centrality,Biomass,0.623807749
UASB,COD,Instability,0.501908641
UASB,dG,Instability,0.544328685
UASB,Ac,Instability,0.612779727
UASB,Pr,Instability,0.788794466
UASB,Bu,Instability,0.612538386
UASB,H2,Instability,0.553285447
UASB,CH4,Instability,0.350238228
UASB,pH,Instability,0.947276003
UASB,PC1,Instability,0.713118149
UASB,PC2,Instability,0.645318427
UASB,Div_a,Instability,0.622963748
UASB,Biomass,Instability,0.821521311
UASB,Instability,Instability,0.993330085
UASB,P_P_IS,Instability,0.578691135
UASB,P_N_IS,Instability,0.849151151
UASB,Complexity,Instability,0.548498957
UASB,Ave_P_IS,Instability,0.768310873
UASB,Ave_N_IS,Instability,0.834977271
UASB,Centrality,Instability,0.572821728
UASB,COD,P_P_IS,0.0765786
UASB,dG,P_P_IS,0.157714092
UASB,Ac,P_P_IS,0.292928085
UASB,Pr,P_P_IS,0.346513323
UASB,Bu,P_P_IS,0.283740541
UASB,H2,P_P_IS,0.325131646
UASB,CH4,P_P_IS,0.170422557
UASB,pH,P_P_IS,0.19181656
UASB,PC1,P_P_IS,0.53576317
UASB,PC2,P_P_IS,0.219637417
UASB,Div_a,P_P_IS,0.196354743
UASB,Biomass,P_P_IS,0
UASB,Instability,P_P_IS,0.448737432
UASB,P_P_IS,P_P_IS,0.986987618
UASB,P_N_IS,P_P_IS,0.738388125
UASB,Complexity,P_P_IS,0.476172156
UASB,Ave_P_IS,P_P_IS,0.214766364
UASB,Ave_N_IS,P_P_IS,0.753712706
UASB,Centrality,P_P_IS,0.433350245
UASB,COD,P_N_IS,0.38338257
UASB,dG,P_N_IS,0.396555718
UASB,Ac,P_N_IS,0.496833061
UASB,Pr,P_N_IS,0.667757935
UASB,Bu,P_N_IS,0.505994557
UASB,H2,P_N_IS,0.534347505
UASB,CH4,P_N_IS,0.215353964
UASB,pH,P_N_IS,0.84130526
UASB,PC1,P_N_IS,0.441635348
UASB,PC2,P_N_IS,0.511463969
UASB,Div_a,P_N_IS,0.614387729
UASB,Biomass,P_N_IS,0.713692024
UASB,Instability,P_N_IS,0.903921817
UASB,P_P_IS,P_N_IS,0.722423761
UASB,P_N_IS,P_N_IS,0.989018085
UASB,Complexity,P_N_IS,0.465093151
UASB,Ave_P_IS,P_N_IS,0.621100391
UASB,Ave_N_IS,P_N_IS,0.985653181
UASB,Centrality,P_N_IS,0.659384346
UASB,COD,Complexity,0.519895526
UASB,dG,Complexity,0.56442725
UASB,Ac,Complexity,0.311659253
UASB,Pr,Complexity,0.758720142
UASB,Bu,Complexity,0.550042833
UASB,H2,Complexity,0.466381342
UASB,CH4,Complexity,0.311297051
UASB,pH,Complexity,0.737209358
UASB,PC1,Complexity,0.701803537
UASB,PC2,Complexity,0.375422949
UASB,Div_a,Complexity,0.615208198
UASB,Biomass,Complexity,0.659847223
UASB,Instability,Complexity,0.514985329
UASB,P_P_IS,Complexity,0.313001618
UASB,P_N_IS,Complexity,0.351094856
UASB,Complexity,Complexity,0.972386408
UASB,Ave_P_IS,Complexity,0.664982094
UASB,Ave_N_IS,Complexity,0.38138958
UASB,Centrality,Complexity,0.678999014
UASB,COD,Ave_P_IS,0.417589387
UASB,dG,Ave_P_IS,0.475803278
UASB,Ac,Ave_P_IS,0.657154334
UASB,Pr,Ave_P_IS,0.767031315
UASB,Bu,Ave_P_IS,0.626909951
UASB,H2,Ave_P_IS,0.520079506
UASB,CH4,Ave_P_IS,0.340355374
UASB,pH,Ave_P_IS,0.93222558
UASB,PC1,Ave_P_IS,0.740721988
UASB,PC2,Ave_P_IS,0.622281386
UASB,Div_a,Ave_P_IS,0.64538041
UASB,Biomass,Ave_P_IS,0.759838629
UASB,Instability,Ave_P_IS,0.810111458
UASB,P_P_IS,Ave_P_IS,0.327946022
UASB,P_N_IS,Ave_P_IS,0.629958269
UASB,Complexity,Ave_P_IS,0.674412613
UASB,Ave_P_IS,Ave_P_IS,0.99350094
UASB,Ave_N_IS,Ave_P_IS,0.611319113
UASB,Centrality,Ave_P_IS,0.542768675
UASB,COD,Ave_N_IS,0.459592626
UASB,dG,Ave_N_IS,0.449635398
UASB,Ac,Ave_N_IS,0.378536962
UASB,Pr,Ave_N_IS,0.614526534
UASB,Bu,Ave_N_IS,0.430370914
UASB,H2,Ave_N_IS,0.463070968
UASB,CH4,Ave_N_IS,0.216495929
UASB,pH,Ave_N_IS,0.774186995
UASB,PC1,Ave_N_IS,0.388221367
UASB,PC2,Ave_N_IS,0.440450618
UASB,Div_a,Ave_N_IS,0.604591911
UASB,Biomass,Ave_N_IS,0.688290457
UASB,Instability,Ave_N_IS,0.871185621
UASB,P_P_IS,Ave_N_IS,0.763187913
UASB,P_N_IS,Ave_N_IS,0.983986337
UASB,Complexity,Ave_N_IS,0.441343292
UASB,Ave_P_IS,Ave_N_IS,0.620415528
UASB,Ave_N_IS,Ave_N_IS,0.989666964
UASB,Centrality,Ave_N_IS,0.63268427
UASB,COD,Centrality,0.694382566
UASB,dG,Centrality,0.709222969
UASB,Ac,Centrality,0.745625035
UASB,Pr,Centrality,0.747722283
UASB,Bu,Centrality,0.764476301
UASB,H2,Centrality,0.665394401
UASB,CH4,Centrality,0.711668876
UASB,pH,Centrality,0.772711424
UASB,PC1,Centrality,0.799728918
UASB,PC2,Centrality,0.72512694
UASB,Div_a,Centrality,0.731632163
UASB,Biomass,Centrality,0.677758169
UASB,Instability,Centrality,0.702678624
UASB,P_P_IS,Centrality,0.434268102
UASB,P_N_IS,Centrality,0.555359877
UASB,Complexity,Centrality,0.623826376
UASB,Ave_P_IS,Centrality,0.599538298
UASB,Ave_N_IS,Centrality,0.530091722
UASB,Centrality,Centrality,0.968504424
UASB,Metabolites,Community,0.724696372
UASB,Community,Metabolites,0.709175917
UASB,Community,Interaction,0.672630574
UASB,Interaction,Community,0.631846749
UASB,Metabolites,Interaction,0.666310879
UASB,Interaction,Metabolites,0.568222436
UASB,Metabolites,Metabolites,0.793666145
UASB,Community,Community,0.804131127
UASB,Interaction,Interaction,0.699520322
