Date,SampleID,Day,pH ,"ORP
(mV)","EC
(mS/cm)","COD
(mg/L)","Alkalinity
(mg/L)",Glucose(µM),Formate(µM),Acetate(µM),Propionate(µM),Butyrate(µM),"H2
(Pa)","CO2
(Pa)","CH4
(Pa)","Gas production
(L/day)",H2 production (L/day),CO2 production (L/day),CH4 production (L/day),"COD Removal 
efficiency (%)","COD Removal 
rate (mg/L/day)","Temp_avg
(°C)",HRT(day),Loading(mg/L/day),"Qcarbon
(mL/day)","Qtotal
(L/day)","SS from effluent 
(mg/L)","SS in Reactor
(mg/L)",DNA conc (ng/uL),ΔG'
2021/11/11,UASB_032,31,6.58,-450,3.76,235,1626,0,0,1326.19,851.95,183.71,216.24,37214.41,61045.17,26.34,0,9.69,15.9,89.91,1034.26,32.95,2.02,1050.35,1417.97,26.68,759.87,1700,134.49,-853.65
2021/11/12,UASB_033,32,6.55,-452,3.73,358,1569,0,26.47,2042.27,1088.22,397.43,317.5,38020.42,59876.49,24.75,0,9.31,14.66,84.62,962.15,33.26,2.05,1004.01,1355.42,26.37,900.08,1800,115.47,-843.16
2021/11/13,UASB_034,33,6.54,-449,3.6,211,1503,0,0,1184.11,677.05,209.19,61.57,36059.54,62903.1,29.3,0,10.43,18.2,90.94,1022.38,33.58,2.07,1003.23,1354.35,26.08,973.33,2700,147.2,-858.67
2021/11/14,UASB_035,34,6.58,-446,3.56,188,1504,0,28.47,1023.23,576.67,120.87,113.59,36711.32,61695.4,26.66,0,9.67,16.25,91.92,1057.86,33.45,2.02,1004.21,1355.69,26.69,1113.24,1800,117.68,-859.78
2021/11/15,UASB_036,35,6.54,-449,3.63,228,1520,0,26.4,1180.12,580.31,138.98,124.22,37717.42,60461.7,24.89,0,9.28,14.87,90.21,1030.13,33.42,2.04,995.61,1344.07,26.49,980,1300,116.61,-857.31
2021/11/16,UASB_037,36,6.52,-449,3.57,253,1625,0,34.5,1618.89,886.44,199.98,107.25,37276.03,60335.65,24.66,0,9.08,14.7,89.13,960.39,33.37,2.16,994.78,1342.95,24.99,810,1700,57.62,-851.42
2021/11/17,UASB_038,37,6.55,-449,3.59,297,1563,0,34.45,1815.74,977.84,252.86,166.43,38149.81,59779.52,22.03,0,8.31,13.02,87.24,997.77,33.35,2.04,983.83,1328.16,26.53,785,1500,60.51,-844.79
2021/11/18,UASB_039,38,6.55,-449,3.62,371,1530,0,0,2411.76,1417.64,409.43,181.44,38826.62,59226.91,23.14,0,8.88,13.55,84.06,964.35,33.5,2.03,1014.02,1368.93,26.61,739.87,1100,59,-835.82
2021/11/19,UASB_040,39,6.57,-448,3.68,381,1545,0,0,2212.49,1526.37,276.74,166.63,38601.36,59594.54,24.73,0,9.44,14.57,83.63,947.17,33.43,2.06,1001.21,1351.63,26.27,573.33,1000,61.53,-839.88
2021/11/20,UASB_041,40,6.58,-446,3.66,366,1545,0,30.6,1984.63,1509.64,233.93,71.37,38396.24,59883.38,21.94,0,8.32,12.98,84.28,967.92,33.4,2.03,1017.32,1373.38,26.64,520,1100,65.23,-838.33
2021/11/21,UASB_042,41,6.58,-449,3.7,394,1518,0,29.38,2008.77,1859.32,183.86,58.78,38799.32,59366.14,25.01,0,9.58,14.66,83.08,946.21,33.35,2.04,995.72,1344.23,26.42,595,1600,90.72,-838.99
2021/11/22,UASB_043,42,6.56,-447,3.63,370,1491,0,38.3,1875.04,1788.73,137.91,41.1,38522.06,59696.55,24.01,0,9.13,14.15,84.11,950.33,33.29,2.06,1004.66,1356.29,26.21,606.56,1600,97,-840.29
2021/11/23,UASB_044,43,6.56,-446,3.56,321,1519,0,28.08,1545.52,1844.38,89.93,36.2,37928.38,60105.28,23.59,0,8.83,14,86.21,986.9,32.98,2.03,1048.42,1415.36,26.55,610,2000,118.65,-841.42
2021/11/24,UASB_045,44,6.55,-445,3.53,352,1474,0,50.39,1668.75,2007.85,78.3,34.62,38768.91,59530.26,22.39,0,8.57,13.16,84.88,966.84,33.2,2.04,1005.71,1357.71,26.42,719.88,1400,111.14,-837.65
2021/11/25,UASB_046,45,6.57,-445,3.54,335,1479,0,0,1378.71,1937.21,54.08,29.05,38327.08,59884.24,22.69,0,8.58,13.41,85.61,966.04,33.38,2.06,992.27,1339.56,26.17,486.79,2001,113.24,-841.14
2021/11/26,UASB_047,46,6.58,-448,3.54,339,1481,0,0,1209.77,2107.99,46.49,27.49,38394.77,59790.59,23.7,0,8.98,13.99,85.44,973.62,33.43,2.04,1000.39,1350.53,26.43,453.33,1900,120.76,-841.08
2021/11/27,UASB_048,47,6.59,-445,3.57,342,1487,0,0,995.11,1882.13,35.91,24.97,38676.77,59611.63,22.71,0,8.67,13.36,85.31,967.6,33.39,2.05,999.77,1349.69,26.31,435,2800,107.39,-843.51
2021/11/28,UASB_049,48,6.59,-444,3.57,329,1504,0,0,881.39,1844.11,33.38,19.57,38779.57,59450.02,23.62,0,9.04,13.86,85.87,969.65,33.5,2.06,1028.9,1389.02,26.19,359.94,1900,158.19,-845.39
2021/11/29,UASB_050,49,6.61,-449,3.57,297,1504,0,30.75,659,1753.47,0,21.22,38279.56,59889.48,25.25,0,9.54,14.93,87.24,1000.62,33.47,2.03,1011.94,1366.12,26.6,163.35,2300,153.9,-849.16
2021/11/30,UASB_051,50,6.68,-448,3.56,287,1473,0,0,623,1862.24,0,19.31,38198.49,60127.63,24.75,0,9.33,14.69,87.67,999.19,33.53,2.04,1004.41,1355.95,26.44,412,1800,183.41,-848.15
2021/12/1,UASB_052,51,6.68,-448,3.56,140,1539,0,24.74,254.9,966.43,0,17.94,33128.05,64047.23,19.94,0,6.52,12.61,93.99,1041.39,33.09,2.1,731.63,987.71,25.7,190.03,3001,178.96,-859.23
2021/12/2,UASB_053,52,6.63,-447,3.53,171,1535,0,29.46,305.56,885.38,0,20.43,37404.9,60628.38,23.73,0,8.76,14.2,92.65,1094.84,33.19,1.97,1010.99,1364.84,27.41,158.37,3300,180.76,-859.78
2021/12/3,UASB_054,53,6.61,-445,3.54,175,1504,0,0,384.31,1170.23,0,75.96,37754.97,60673.3,24.85,0,9.27,14.89,92.48,1044.87,33.26,2.06,994.78,1342.95,26.21,175,3100,173.05,-857.22
2021/12/4,UASB_055,54,6.59,-447,3.52,201,1504,0,0,447.97,1290.83,0,50.58,37737.93,60184.17,24.09,0,8.98,14.32,91.37,1027.29,33.06,2.07,995.02,1343.27,26.08,159.97,3299,211.29,-855.1
2021/12/5,UASB_056,55,6.61,-450,3.42,200,1491,0,0,527.02,1487.42,0,25.61,37368.27,60494.22,23.03,0,8.49,13.75,91.41,1038.73,33.34,2.05,963.3,1300.45,26.36,172.01,2900,225.45,-851.7
2021/12/6,UASB_057,56,6.7,-449,3.35,204,1576,0,42.95,572.03,1537.45,0,105.42,35269.88,62948.45,22.74,0,7.92,14.14,91.24,1031.36,33.19,2.06,946.44,1277.7,26.22,149.97,3499,237.68,-851.38
2021/12/7,UASB_058,57,6.67,-448,3.35,243,1577,0,73.5,826.91,1516.08,35.81,45.72,35842.64,62507.09,19.7,0,6.97,12.16,89.56,1010.16,33.5,2.06,1010.25,1363.84,26.16,125,2500,215.65,-846.51
2021/12/8,UASB_059,58,6.59,-443,3.33,223,1537,0,0,496.29,1457.91,0,28.47,41554.1,56955.12,28.53,0,11.7,16.04,90.42,1029.34,33.68,2.04,1012.79,1367.27,26.41,103.96,2799,217.5,-853.54
2021/12/9,UASB_060,59,6.6,-443,3.36,228,1559,0,25.49,638.77,1778.03,0,26.38,39285.36,59208.98,29.19,0,11.32,17.06,90.21,1022.28,33.4,2.05,1019.35,1376.12,26.29,117.99,3700,249.49,-851.37
2021/12/10,UASB_061,60,6.63,-446,3.43,222,1557,0,44.77,641.3,1617.55,0,23.25,38487.85,59845.99,25.92,0,9.85,15.31,90.46,1019.89,33.14,2.06,1032.49,1393.86,26.15,115.72,4100,313.32,-851.2
2021/12/11,UASB_062,61,6.65,-446,3.49,186,1506,0,42.69,557.76,1366.42,0,25.68,38178.48,60236.82,25.18,0,9.49,14.97,92.01,1050.29,33.06,2.04,1014.3,1369.3,26.48,67.99,3900,371.15,-853.91
2021/12/12,UASB_063,62,6.65,-445,3.51,215,1480,0,0,594.96,1368.41,0,22.98,38322.52,60014.98,23.99,0,9.07,14.21,90.76,1024.24,32.94,2.06,1007.75,1360.46,26.18,83.35,3801,345.74,-853.21
2021/12/13,UASB_064,63,6.64,-446,3.54,215,1517,0,42.02,591.54,1393.66,0,16.95,38042.73,60414.29,25.26,0,9.49,15.06,90.76,1017.23,33.25,2.08,999.55,1349.39,26,139.96,4299,380.56,-853.86
2021/12/14,UASB_065,64,6.64,-446,3.55,245,1508,0,42.55,709.59,1580.81,0,19.37,38674.94,59662.14,24.94,0,9.52,14.69,89.48,1001.91,33.31,2.08,1077.77,1454.99,25.97,77.32,3799,334.4,-850.75
2021/12/15,UASB_066,65,6.64,-445,3.53,228,1501,0,42.11,699.8,1438.95,0,17.88,39510.66,58967.84,25.78,0,10.06,15.01,90.21,1022.38,33.27,2.05,1012.1,1366.34,26.29,57.99,3900,352.46,-852.3
2021/12/16,UASB_067,66,6.64,-446,3.57,276,1499,0,46.25,907.86,1715.05,0,19.8,39868.12,58765.63,26.98,0,10.62,15.65,88.14,990.34,33.14,2.07,1009.42,1362.72,26.06,123,4001,358.01,-849.32
2021/12/17,UASB_068,67,6.66,-446,3.6,267,1536,0,25.64,861.78,1533.84,30.62,38.93,39500.92,59198.7,27.69,0,10.8,16.18,88.53,1005.97,33.01,2.05,1018.34,1374.77,26.36,105.98,3499,262.61,-851.39
2021/12/18,UASB_069,68,6.66,-443,3.62,244,1508,0,27.15,800.79,1364.5,0,16.72,38712.79,59879.31,25.51,0,9.75,15.08,89.52,875.34,32.94,2.38,1015.8,1371.33,22.68,109.04,5102,331.07,-855.34
2021/12/19,UASB_070,69,6.68,-448,3.64,220,1516,0,45.03,812.78,1310.1,0,16.85,37610.63,60492.64,25.17,0,9.34,15.03,90.55,1015.46,33.52,2.08,1010.91,1364.72,26.01,124.47,4701,315.2,-853.81
2021/12/20,UASB_071,70,6.68,-447,3.65,244,1556,0,0,832.71,1354.97,0,57.46,38342.71,60057.55,23.13,0,8.76,13.72,89.52,1015.42,33.11,2.05,1017.81,1374.05,26.31,120.03,4201,306.01,-851.14
2021/12/21,UASB_072,71,6.7,-447,3.7,325,1565,0,0,874.63,1378.47,0,77.35,38659.4,59784.16,25.02,0,9.55,14.78,86.04,968.54,33.4,2.07,1013.79,1368.61,26.11,124.96,3999,292.61,-852.05
2021/12/22,UASB_073,72,6.72,-448,3.67,142,1568,0,29.47,460.27,1038.51,0,13.82,37508.39,61325.75,30.1,0,11.14,18.22,93.9,1038.75,33.36,2.1,1003.82,1355.15,25.66,151.25,5200,296.79,-860.79
2021/12/23,UASB_074,73,6.74,-448,3.71,121,1577,0,38.1,357.15,670.88,0,18.34,37476.69,61233.01,27.96,0,10.34,16.9,94.8,1071.13,33.21,2.06,1009.41,1362.71,26.21,88.54,6298,454.83,-863.95
2021/12/24,UASB_075,74,6.73,-447,3.71,127,1581,0,49.67,479.83,654.55,0,34.44,38211.71,60305.51,26.03,0,9.82,15.5,94.54,1064.33,32.85,2.07,1001.31,1351.77,26.11,77.12,4799,302.37,-862.61
2021/12/25,UASB_076,75,6.72,-447,3.7,120,1545,0,32.59,434.87,813.66,0,13.93,37751.09,60691.05,27.3,0,10.17,16.35,94.85,1056.21,33.35,2.09,994.48,1342.55,25.83,78.76,4601,394.88,-862.02
2021/12/26,UASB_077,76,6.71,-447,3.66,142,1543,0,45.11,495.73,761.43,0,16.31,38248.51,60407.91,25.8,0,9.74,15.38,93.9,1059.06,32.92,2.06,1012.81,1367.3,26.16,80.01,5200,354.57,-861.35
2021/12/27,UASB_078,77,6.7,-448,3.62,156,1548,0,0,576.49,894.45,0,54.63,38792.87,59873.99,27.31,0,10.46,16.15,93.3,1033.22,33.43,2.1,1004.59,1356.2,25.69,85.59,6302,365.9,-860.21
2021/12/28,UASB_079,78,6.71,-448,3.65,149,1521,0,21.69,575.06,826.63,0,11.52,37945.76,60689.98,27.21,0,10.19,16.3,93.6,1042.45,33.26,2.09,1008.57,1361.57,25.83,51,5200,340.8,-861.24
2021/12/29,UASB_080,79,6.73,-449,3.59,139,1557,0,0,554.87,758.43,0,11.31,38044.84,60597.13,25.78,0,9.68,15.42,94.03,1052.91,33.21,2.08,1009.61,1362.98,25.97,65.57,4901,358.04,-861.34
2021/12/30,UASB_081,80,6.74,-449,3.64,141,1533,0,0,537.58,673.43,0,11.54,38118.99,60561.45,25.53,0,9.61,15.26,93.94,1053.89,33.07,2.08,691.58,933.63,26.02,65.01,5300,487.58,-862.33
2021/12/31,UASB_082,81,6.73,-449,3.67,125,1569,0,0,481.16,670.33,0,10.91,37989.84,60493.56,26.43,0,9.91,15.78,94.63,1051.45,33.24,2.1,1009.26,1362.5,25.77,69.15,4699,459.11,-862.98
2022/1/1,UASB_083,82,6.72,-448,3.68,149,1553,0,35.93,620.09,840.93,0,15.38,38551.17,60075.45,26.74,0,10.18,15.86,93.6,1053.17,33.16,2.07,1022.58,1380.48,26.1,82.15,6001,457.54,-860.15
2022/1/2,UASB_084,83,6.73,-446,3.63,155,1546,0,0,703.49,863.99,0,40.61,38420.65,59770.39,26.98,0,10.23,15.92,93.34,1046.72,33.35,2.08,1006.84,1359.23,26.01,60.98,4399,438.64,-859.79
2022/1/3,UASB_085,84,6.71,-447,3.61,198,1520,0,0,880.71,1087.26,0,46.03,38384.94,60159.28,26.05,0,9.87,15.47,91.49,1015.68,33.35,2.1,1004.32,1355.83,25.75,80,5100,463.67,-856.35
2022/1/4,UASB_086,85,6.75,-447,3.63,113,1566,0,21.43,541.09,620.24,0,13.93,38658.07,60082.57,28.02,0,10.69,16.62,95.15,1070.18,33.26,2.07,1018.55,1375.05,26.09,65.99,5399,524.45,-863.34
2022/1/5,UASB_087,86,6.76,-447,3.68,168,1576,0,0,795.5,865.62,0,38.92,38774.84,59318.89,28.22,0,10.8,16.53,92.78,1040.77,33.21,2.08,1016.19,1371.86,26.02,113.01,5400,404.1,-859.6
2022/1/6,UASB_088,87,6.75,-447,3.7,226,1572,0,37.79,1027.85,1123.43,0,12.52,39310.37,59401.5,27.47,0,10.66,16.1,90.29,1010.42,33.18,2.08,1036.26,1398.96,25.96,94,4800,457.49,-855.24
2022/1/7,UASB_089,88,6.76,-448,3.75,202,1581,0,0,993.43,1032.44,0,12.1,38761.86,59961.06,27.59,0,10.56,16.33,91.32,1025.88,33.18,2.07,1014.97,1370.22,26.06,85.99,4700,366.07,-856.68
2022/1/8,UASB_090,89,6.76,-448,3.69,213,1569,0,36.58,1183.75,1162.53,32.71,11.06,38883.91,59716.21,28.99,0,11.13,17.09,90.85,1021.34,33.22,2.07,1003.56,1354.81,26.08,109.98,7399,335.98,-854.69
2022/1/9,UASB_091,90,6.76,-448,3.66,156,1576,0,42.26,642.64,633.07,0,10.98,38787.68,59850.67,27.66,0,10.59,16.34,93.3,1042.97,33.18,2.08,995.3,1343.65,25.93,112.02,7701,436.28,-862.5
2022/1/10,UASB_092,91,6.76,-447,3.74,196,1571,0,35.03,1225.59,1201.08,34.81,15.42,38911.83,59778.91,31.64,0,12.15,18.67,91.58,1018.56,33.33,2.09,1022.53,1380.41,25.8,356.64,5600,432.81,-855.64
2022/1/11,UASB_093,92,6.77,-448,3.84,226,1577,0,25.72,969.76,857,33.18,14.79,38640.57,59983.86,30.53,0,11.72,18,90.29,1012.86,33.28,2.08,1006.18,1358.34,26.02,444.92,4799,369.74,-859.43
2022/1/12,UASB_094,93,6.76,-448,3.71,254,1574,0,26.7,1215.85,1308.09,30.62,13.33,38914.93,59238.48,29.97,0,11.47,17.7,89.09,989.29,33.37,2.1,994.84,1343.03,25.76,434.93,5399,398.23,-853.78
2022/1/13,UASB_095,94,6.77,-449,3.71,270,1596,0,39.36,1337.37,1163.92,41.58,15.17,38360.84,59713.51,28.15,0,10.81,16.61,88.4,994.9,33.23,2.07,1008.19,1361.06,26.11,351.94,5399,428.17,-853.32
2022/1/14,UASB_096,95,6.77,-448,3.67,212,1594,0,27.38,923.8,736.68,29.22,10.71,37680.32,60634.76,28.17,0,10.74,16.68,90.89,1018.87,33.19,2.08,1007.04,1359.5,26,286.67,5400,416.67,-860.18
2022/1/15,UASB_097,96,6.78,-448,3.66,166,1599,0,39.92,1045.85,903.01,31.01,9.47,38211.02,59748.22,26.27,0,10.09,15.36,92.87,1027.81,33.25,2.1,996.65,1345.48,25.67,211,4298,353.09,-856.83
2022/1/16,UASB_098,97,6.76,-448,3.67,252,1609,0,27.06,937.04,931.58,32.97,10.53,37408.81,60800.64,27.17,0,10.29,16.01,89.18,1002.13,33.15,2.07,1019.15,1375.86,26.07,371.49,4801,361.59,-857.75
2022/1/17,UASB_099,98,6.76,-448,3.64,162,1603,0,32.82,709.44,579.45,0,13.02,38595.71,59157.32,28,0,10.41,16.76,93.04,1076.03,33.36,2.01,1007.73,1360.44,26.83,254.02,4600,369.74,-862.43
2022/1/18,UASB_100,99,6.78,-448,3.66,192,1602,0,34.86,1088.96,906.02,32.99,11.31,38526.15,58511.98,27.87,0,10.51,16.44,91.75,1019.75,33.11,2.09,1011.55,1365.6,25.78,376.54,5994,398.23,-856.94
2022/1/19,UASB_101,100,6.79,-448,3.68,239,1558,0,39.5,1437.77,989.2,36.76,12.19,38972.72,59283.26,28.04,0,10.35,16.83,89.73,988.53,33.21,2.11,1016.5,1372.27,25.55,376.54,5198,428.17,-854.9
2022/1/20,UASB_102,101,6.79,-449,3.7,205,1577,0,33.38,1128.73,858.44,30.06,6.43,36470.01,60886.87,29.75,0,11.34,17.37,91.19,931.49,33.2,2.28,1006.09,1358.22,23.69,219.89,8496,416.67,-860.3
2022/1/21,UASB_103,102,6.8,-449,3.72,202,1597,0,31.9,1350.88,1010.1,40.15,11.51,39100.34,59216.42,27.75,0,10.55,16.03,91.32,998.33,33.37,2.13,997.72,1346.92,25.36,200,5900,353.09,-855.15
2022/1/22,UASB_104,103,6.79,-448,3.7,196,1578,0,0,1278.44,860.13,36.41,12.76,38821.78,59572.34,26.08,0,10.03,15.26,91.58,936.81,33,2.28,1005.77,1357.79,23.73,140.05,6002,361.59,-857.07
2022/1/23,UASB_105,104,6.81,-449,3.67,156,1583,0,0,1410,989.34,39.2,13.32,38700.57,59925.97,28.07,0,10.1,16.87,93.3,1052.8,33.22,2.06,1013.03,1367.59,26.17,NA,NA,385.95,-855.13
2022/1/24,UASB_106,105,6.81,-449,3.72,220,1587,0,258.08,1475.16,879.73,45.73,55.45,38862.27,59696.19,27.15,0,10.48,15.87,90.55,1011.45,33.11,2.08,1010.35,1363.98,25.91,NA,NA,387.17,-854.14
2022/1/25,UASB_107,106,6.81,-449,3.75,275,1573,0,0,1834.81,1280.89,51.57,38.08,37518.5,60192.28,29.24,0,11.21,17.19,88.19,955.21,33.33,2.15,1019.76,1376.67,25.12,NA,NA,346.94,-851.77
2022/1/26,UASB_108,107,6.81,-449,3.77,172,1631,0,46.64,1181.92,807.39,39.59,52.16,40505.25,58051.23,26.56,0,10.15,15.71,92.61,1097.74,33.18,1.96,1031.47,795.71,27.49,82.47,3499,345.58,-855.09
2022/1/27,UASB_109,108,6.79,-450,3.79,165,1641,0,49.79,1100.3,731.84,37.32,15.85,40357.77,58332.99,28.04,0,10.76,16.53,92.91,1039.69,33.01,2.08,1024.53,790.35,25.96,71.42,5699,295.68,-857.97
2022/1/28,UASB_110,109,6.82,-450,3.79,183,1661,0,0,786.6,598.95,31.6,84.12,39312,58700.34,28.97,0,10.73,17.22,92.14,1026.38,32.99,2.09,1011.31,780.15,25.84,61.34,8301,372.96,-861.89
2022/1/29,UASB_111,110,6.83,-452,3.81,218,1611,0,0,1916.22,1343.22,49.08,10.42,36074.73,61027.13,36.8,0,14.72,21.1,90.64,837.62,33.29,2.52,1023.82,789.81,21.44,52.21,4899,415.99,-857.59
